user;gender;age;tool;medical_iou;medical_time;medical_vLike;medical_vEffort;medical_vMotion;gameplay_iou;gameplay_time;gameplay_vLike;gameplay_vEffort;gameplay_vMotion;pedestrian_iou;pedestrian_time;pedestrian_vLike;pedestrian_vEffort;pedestrian_vMotion;tUsage;tBoxCreation;tBoxManipulation;tBoxPropagation
1;male;25;VATIC;0.87214336;170;3;3;4;0.460359925;170;4;2;3;0.739952864;180;4;4;2;3;4;4;3
2;female;30;AIBU;0.867096479;277;3;4;4;0.457795101;180;5;2;3;0.779966155;121;5;1;2;4;4;2;1
3;female;21;VATIC;0.80661473;120;2;2;4;0.511335525;138;5;3;3;0.657500266;54;5;1;2;4;4;4;3
4;male;26;AIBU;0.863227049;322;3;5;3;0.479309262;184;3;4;2;0.739843533;153;3;2;1;2;2;1;3
5;male;26;VATIC;0.839881502;249;4;3;3;0.377152107;195;4;4;2;0.679351273;113;4;3;1;4;2;4;4
6;male;28;AIBU;0.851859586;266;5;4;3;0.512562167;192;5;2;2;0.725103256;128;5;1;1;4;3;3;2
7;male;25;VATIC;0.871643507;200;4;4;5;0.504096187;190;5;2;2;0.725075368;202;5;2;1;5;5;5;4
8;male;26;DarkLabel;0.794238484;240;3;2;5;0.4587799;169;4;2;2;0.674238218;116;3;3;2;4;4;4;4
9;male;40;AIBU;0.84533176;174;1;3;5;0.457340771;146;4;4;1;0.74573636;78;5;1;1;4;4;3;4
10;male;42;DarkLabel;0.899487082;260;4;4;3;0.442988305;149;3;2;1;0.789420468;47;3;1;2;4;5;4;4
11;female;40;VATIC;0.877746536;194;1;2;4;0.544307493;233;1;5;1;0.783401116;158;1;1;1;5;4;4;4
12;male;38;AIBU;0.82955867;318;4;4;4;0.489389578;164;5;4;3;0.766761913;89;5;2;2;2;2;4;3
13;male;25;DarkLabel;0.918568931;182;5;5;5;0.455209268;125;5;4;3;0.773910291;39;5;1;2;5;1;1;2
14;male;25;VATIC;0.855097398;135;5;4;5;0.548346184;130;5;1;2;0.752646288;46;5;1;2;4;3;4;2
15;male;42;AIBU;0.790573249;140;4;4;3;0.499583329;130;5;4;2;0.690492007;55;5;2;1;2;4;2;3
16;male;26;DarkLabel;0.874265167;173;3;3;3;0.450628174;108;5;2;1;0.787551683;36;5;1;2;3;4;5;4
17;male;24;VATIC;0.869982039;208;4;5;3;0.518506776;121;5;4;2;0.754707485;30;5;1;1;3;3;3;2
18;female;40;AIBU;0.844396545;114;4;2;3;0.487143257;106;5;1;1;0.756796559;66;5;3;1;2;2;1;2
19;male;28;DarkLabel;0.913626467;184;3;4;4;0.452712295;158;4;2;2;0.795735526;72;3;1;1;4;4;4;2
20;male;26;VATIC;0.78130507;130;3;3;4;0.535978197;132;3;3;2;0.709064439;75;3;3;1;4;4;4;3
